Model,Arousal_Signal,Train_Study,Test_Study,Metrics,value,CV_ind,Case
lstm,PP_BR,SS,OT,AUC,0.942801197,non_CV,C4
lstm,PP_BR,SS,SS,AUC,0.943539111,CV,C5
lstm,PP_BR,SS,TT1,AUC,0.884373099,non_CV,C6
lstm,PP_BR,TT1,OT,AUC,0.842123134,non_CV,C7
lstm,PP_BR,TT1,SS,AUC,0.866521505,non_CV,C8
lstm,PP_BR,TT1,TT1,AUC,0.887970293,CV,C9
lstm,PP_HR,OT,OT,AUC,0.944738448,CV,C1
lstm,PP_HR,OT,SS,AUC,0.891931858,non_CV,C2
lstm,PP_HR,OT,TT1,AUC,0.884223835,non_CV,C3
lstm,PP_HR,SS,OT,AUC,0.90393562,non_CV,C4
lstm,PP_HR,SS,SS,AUC,0.910212174,CV,C5
lstm,PP_HR,SS,TT1,AUC,0.879568789,non_CV,C6
lstm,PP_HR,TT1,OT,AUC,0.800973068,non_CV,C7
lstm,PP_HR,TT1,SS,AUC,0.800060592,non_CV,C8
lstm,PP_HR,TT1,TT1,AUC,0.850963318,CV,C9
lstm,PP_HR_BR,OT,OT,AUC,0.961666099,CV,C1
lstm,PP_HR_BR,OT,SS,AUC,0.927145515,non_CV,C2
lstm,PP_HR_BR,OT,TT1,AUC,0.89556295,non_CV,C3
lstm,PP_HR_BR,SS,OT,AUC,0.92571634,non_CV,C4
lstm,PP_HR_BR,SS,SS,AUC,0.937846319,CV,C5
lstm,PP_HR_BR,SS,TT1,AUC,0.913188639,non_CV,C6
lstm,PP_HR_BR,TT1,OT,AUC,0.870389334,non_CV,C7
lstm,PP_HR_BR,TT1,SS,AUC,0.881813164,non_CV,C8
lstm,PP_HR_BR,TT1,TT1,AUC,0.930913319,CV,C9
