Model,Arousal_Signal,Train_Study,Test_Study,Metrics,value,CV_ind,Case
rf,PP_HR_BR,OT,SIM1,AUC,0.91301649,non_CV,C2
rf,PP_HR_BR,OT,SIM2,AUC,0.930846789,non_CV,C3
rf,PP_HR_BR,OT,TT1,AUC,0.911979965,non_CV,C4
rf,PP_HR_BR,SIM1,OT,AUC,0.919006216,non_CV,C5
rf,PP_HR_BR,SIM1,SIM1,AUC,0.989116,CV,C6
rf,PP_HR_BR,SIM1,SIM2,AUC,0.861601774,non_CV,C7
rf,PP_HR_BR,SIM1,TT1,AUC,0.97534265,non_CV,C8
rf,PP_HR_BR,SIM2,OT,AUC,0.921738812,non_CV,C9
rf,PP_HR_BR,SIM2,SIM1,AUC,0.844500628,non_CV,C10
rf,PP_HR_BR,SIM2,SIM2,AUC,0.959732,CV,C11
rf,PP_HR_BR,SIM2,TT1,AUC,0.839645226,non_CV,C12
rf,PP_HR_BR,TT1,OT,AUC,0.916850577,non_CV,C13
rf,PP_HR_BR,TT1,SIM1,AUC,0.932597242,non_CV,C14
rf,PP_HR_BR,TT1,SIM2,AUC,0.907476691,non_CV,C15
rf,PP_HR_BR,TT1,TT1,AUC,0.950371,CV,C16
lstm,BR,OT,OT,AUC,0.97141211,CV,C1
lstm,BR,OT,SIM1,AUC,0.8677411,non_CV,C2
lstm,BR,OT,SIM2,AUC,0.937489226,non_CV,C3
lstm,BR,OT,TT1,AUC,0.926460258,non_CV,C4
lstm,BR,SIM1,OT,AUC,0.869464427,non_CV,C5
lstm,BR,SIM1,SIM1,AUC,0.983591451,CV,C6
lstm,BR,SIM1,SIM2,AUC,0.806196991,non_CV,C7
lstm,BR,SIM1,TT1,AUC,0.971928885,non_CV,C8
lstm,BR,SIM2,OT,AUC,0.922616361,non_CV,C9
lstm,BR,SIM2,SIM1,AUC,0.787281893,non_CV,C10
lstm,BR,SIM2,SIM2,AUC,0.983364956,CV,C11
lstm,BR,SIM2,TT1,AUC,0.815781586,non_CV,C12
lstm,BR,TT1,OT,AUC,0.905055815,non_CV,C13
lstm,BR,TT1,SIM1,AUC,0.94556529,non_CV,C14
lstm,BR,TT1,SIM2,AUC,0.869952882,non_CV,C15
lstm,BR,TT1,TT1,AUC,0.982616569,CV,C16
